premise,hypothesis,label
"Was Sie an autoritären, antidemokratischen und verfassungsfeindlichen Vorstellungen von Pressefreiheit haben, erschreckt mich zwar, interessiert mich als Demokrat aber dennoch herzlich wenig. Wenn Sie ein Problem mit Art. 5 GG haben, dann empfehle ich Ihnen die Putinokratie.",Dieser Kommentar ist eine Respektbekundung,2
Kommrntare zu diesen #TATSACHEN und #FAKTEN werden NICHT gelesen ! ⛔ werden IGNORIERT ! ⚠ und Tschüss ! ⚠,Dieser Kommentar enthält Ironie,2
@USER über alle FDP'ler kann man nur den Kopf schütteln! 🤷‍♂️,Dieser Kommentar enthält Ironie,2
Jetzt wo alles kaputt ist agiert ihr ???? Zu spät es wird keine Regeneration geben,Dieser Kommentar ist eine Respektbekundung,2
@MEDIUM ich meinte damit das immer wieder suggeriert wird es würde sich was ändern aber letztendlich werden Themen wie dieses nur in Talkshows behandelt viel polarisiert und für die eigentlich betroffenen nichts bei rum kommt.. Geld regiert von wegen Sozialstaat,Dieser Kommentar ist eine externe Quelle,2
Haha das sind Grünen Wähler. Gute Nacht,Dieser Kommentar enthält Ironie,2
"@USER das und und finde ich auch sehr wichtig, denn da gibt es leider noch einiges mehr - traurig finde ich das.",Dieser Kommentar ist eine externe Quelle,2
@MEDIUM Diese Sendung ist Volksverdummung auf höchstem Niveau !,Dieser Kommentar ist ein Lösungsvorschlag,2
In die Statistiken gehen auch Hakenkreuzschmiererei der Antifa als Rechtsextremismus ein. Vom alltäglichen Glaubensterror will auch keiner reden!!,Dieser Kommentar ist eine Respektbekundung,2
"warum nur machen alle so eine betroffenheitsfratze, das regt doch sofort zum umschalten an. kann man nicht ein paar freundliche beispiele bringen, um nicht das gefühl zu haben, dass wir morgen alle sterben müssen. wer versorgt denn dann die neulinge hier? hmm - für mich ist der HR ein viel positiverer Sender als der WDR, wo jeden abend auch im vorabendprogramm rumgefeeeenst wird.",Dieser Kommentar ist eine Tatsachenbehauptung,2
Schlechte bezahlung für richtige Arbeit ?????? Wieviel verdienen eingentlich die Redakteure im Monat ????? Was?,Dieser Kommentar ist ein Lösungsvorschlag,2
"@USER sie sind ja sowas von intelligent, ich traue mich nicht auf ihre Frage einzugehen 😏 oder doch? Ihr habt die türken in den 60ziger nach Deutschland geholt weil ihr billig Arbeitskräfte gebraucht habt . Bis jetzt habt ihr es nicht geschafft mit diesen Menschen auf augenhöhe umzugehen. Jetzt sollen die wieder verschwinden gel?!?! So einfach geht das nicht lieber @USER",Dieser Kommentar enthält Ironie,2
"@MEDIUM das artet dann wieder als Gerichtsverfahren aus , Wo die AfD komplett nieder gemacht wird.",Dieser Kommentar ist eine Respektbekundung,2
Ja und nun? Können gesunde Menschen was dafür? Ich glaube es hackt! 😠,Dieser Kommentar ist ein Lösungsvorschlag,2
"@USER Das ist das Einzige was kommt. Neid? Darum geht es nicht, das ist nicht mal ein Argument. Hier in unserem Land gibt es knapp 1/3 der Leute, die später in Altersarmut rutschen. Wir müssen es hinbekommen, dass JEDER im Alter ein Leben in Würde leben kann.",Dieser Kommentar ist eine Respektbekundung,2
Migrationshintergrund! Ist der schlimm? Den hat mittlerweile der größere Teil der deutschen Bevölkerung. Aufgrund unterschiedlicher Dramen.,Dieser Kommentar ist eine externe Quelle,2
die scheint zu denken das ist Quatsch Comedy..,Dieser Kommentar ist eine Respektbekundung,2
@USER genau weil es nur ein ganz links oder ganz Kapitalismus gibt. Fakt ist es kann so nicht weiter gehen.,Dieser Kommentar ist ein Lösungsvorschlag,2
Niemals mehr eine grüne Regierung wir hatten schon mal grün rot und das war eine einzige Katastrophe.,Dieser Kommentar ist eine externe Quelle,2
Unterstellungen? Erst wenn Hessens-Grüne die NSU-Akten frei geben und nicht 120Jahre verschwinden lassen-sie blockieren gegen die SPD aber Hand in Hand mit CDU! Ein Schelm wer böses dabei denkt...,Dieser Kommentar ist eine Tatsachenbehauptung,2
"Sehe ich genauso. Wir diskitieren ständig über eventuelle Probleme anderer Länder, als hätten wir hier keine.",Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER ..oder gar linksversiffte !,Dieser Kommentar ist eine externe Quelle,2
