premise,hypothesis,label
Die Alte darf ja nicht fehlen. Hätte selber gern einen Posten. Nichtsnutz.,Dieser Kommentar enthält Ironie,2
So nun wisst ihr immer noch nicht ob Deutschland eure Heimat ist ...😂😂😂😂,Dieser Kommentar ist eine Respektbekundung,2
Keine Argumente gegen die Grünen?! Das ist lustig. Es sind Kryptokommunisten. Reicht das nicht? ;-),Dieser Kommentar enthält Ironie,2
die grünen haben außerhalb von DE lediglich 7 Sitze erhalten.Gott sei Dank gibt es noch andere Länder,Dieser Kommentar ist eine Respektbekundung,2
"Ja dumm daher reden können unsere Politiker am besten erst die ganzen Wohnungen verkaufen, dann keine neuen bauen und sich wundern warum es so teuer wurde. Es werden Millionen für gebäude bezahlt für Flüchtlinge die nicht dort einziehen aber für die Menschen die hart arbeiten Steuern bezahlen sind keine Wohnungen da.",Dieser Kommentar enthält Ironie,2
@USER Mein Vater auch.....!!!!!,Dieser Kommentar ist eine externe Quelle,2
@USER Die AfD wird von @MEDIUM und @MEDIUM zu jeder Sachfrage boykottiert. In Interviews zu Sachthemen nie zugelassen. Durchschauen Sie das miese Spiel bei den Staatssendern. AfD Vorschläge werden bei diesen Organisationen nicht durchgelassen.,Dieser Kommentar ist eine Respektbekundung,2
@MEDIUM blau hat auch Argumente. Aber die wollt ihr nicht hören,Dieser Kommentar enthält Ironie,2
"Interessant, diese Aussage..... das Herz schlägt nur, weil eine Herz-Lungenmaschine den Kreislauf stabil hält. Schaltet man diese Maschine ab, bleibt auch die menschliche Pumpe stehen. Ich verstehe diese Aussage nicht...... es scheint mal wieder das richtige Fachpersonal dort zu sitzen.",Dieser Kommentar enthält Ironie,2
die vielen fanatischen Hasskommentare geben Jung leider recht!!,Dieser Kommentar enthält Ironie,2
@USER das lässt aber zu wünschen übrig,Dieser Kommentar ist eine Tatsachenbehauptung,2
Kühnert ein höherer Abschluss beweist nicht das man automisch klüger ist..,Dieser Kommentar ist eine Tatsachenbehauptung,2
Das sind Fakten.,Dieser Kommentar ist eine externe Quelle,2
Jetzt wo alles kaputt ist agiert ihr ???? Zu spät es wird keine Regeneration geben,Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER Oh weh das möchten wir uns garnicht vorstellen.,Dieser Kommentar ist ein Lösungsvorschlag,2
