premise,hypothesis,label
"Nein, MAN USS regulieren, weil dieMieten sonst in dieHöhe steigen. Bauen bedeutet nicht, dass die Mieten sinken. Da werden wir massiv verarscht.",Dieser Kommentar ist eine Respektbekundung,2
Bei den Löhnen 😂😂,Dieser Kommentar enthält Ironie,2
Was hab ich denn schlimmes geschrieben? :o,Dieser Kommentar ist eine externe Quelle,2
"Ach, wieder die Passbeschenkte. Ginge es nach der AfD, wären Sie gar nicht in Deutschland!",Dieser Kommentar ist eine Respektbekundung,2
@USER .welch sinnbefreite Antwort.und das von einen Studienrat. Wahrscheinlich auch noch grüner,Dieser Kommentar ist eine externe Quelle,2
"Es wird doch viel gebaut, nur findet man oft keine Flächen dafür.",Dieser Kommentar ist ein Lösungsvorschlag,2
Flinten Uschi nein danke die nächste EU Wahl nein danke. Diesmal meine Lieben EU-Politiker habt ihr eure Maske fallen lassen und deshalb werde ich nie wieder zu einer EU-Wahl gehen danke dafür,Dieser Kommentar ist eine externe Quelle,2
@USER 26% sind DIE Deutschen?,Dieser Kommentar ist eine externe Quelle,2
Sehr erwachsen.,Dieser Kommentar enthält Ironie,2
Manche trauen sich auch nicht,Dieser Kommentar ist eine externe Quelle,2
@MEDIUM Tarifvertrag zählt aber nicht für private Arbeitgeber. Der Großteil ist privat. Also kein Vorteil!!!,Dieser Kommentar ist eine Respektbekundung,2
Weswegen war in dieser Sendung niemand von der AfD? #Staatsfunk #Nannyjournalismus #ichbinhier,Dieser Kommentar ist eine Respektbekundung,2
"Wenn die mich ausschlachten wollen ,sollen die auch die Beisetzung bezahlen",Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER Sie outen sich gerade als: Hetzer! Gratuliere,Dieser Kommentar ist ein Lösungsvorschlag,2
"@USER Ihr Kommentar passt perfekt in die Kategorie ""Wenn man keine Ahnung hat...""!",Dieser Kommentar ist eine Respektbekundung,2
*shitstorm incoming,Dieser Kommentar ist eine Tatsachenbehauptung,2
"@MEDIUM stimmt. Da kenne ich eine Menge. Man muss nur lesen was Ihr von BEIDEN Seiten an Beiträgen zulasst und nicht löscht. Ergötzt ihr euch von "" @MEDIUM "" daran ?",Dieser Kommentar ist eine Respektbekundung,2
"@USER Menschen die hier 30 Jahre faul waren, sind nicht die einzigen Nutznießer unserer Renten, bzw. unserer Sozialkassen. Wurde dieser Tage noch drüber berichtet, wieviele Milliarden der Rentengelder zweckentfremdet wurden und werden. Aber das ist nicht das heutige Thema, es ist Ihr berechtigtes Wunschthema, was für mein Empfinden allerdings auch ein Wunsch bleiben wird, da sich von der aktuellen Politik her nichts ändern wird. Was meinen Sie wohl, warum die jetzt eine CO2 Steuer anstreben? 3x dürfen Sie raten.",Dieser Kommentar ist ein Lösungsvorschlag,2
Prima! Schön zu hören!!,Dieser Kommentar ist ein Lösungsvorschlag,2
@USER ..oder gar linksversiffte !,Dieser Kommentar ist eine Respektbekundung,2
@USER So wie ihrer hier??,Dieser Kommentar ist ein Lösungsvorschlag,2
"@USER typisch rechtstumbes Nachgebrabbel, was der Strammfunk so an Sprachregelungen vorgibt. Die Frau hat doch Recht.",Dieser Kommentar ist eine Respektbekundung,2
die Sendung versenkt sich gerade selbst..,Dieser Kommentar enthält Ironie,2
@USER die Problematik mit hohen Preise bei Immobilien gibt es schon länger als 2015. Aber das ist wohl in Vergessenheit geraten.,Dieser Kommentar ist eine Tatsachenbehauptung,2
"Nordkreuz, Uniter, NSU 2.0 etc. wohl eher nicht.",Dieser Kommentar ist ein Lösungsvorschlag,2
war ja klar daher weg bleibt,Dieser Kommentar ist eine Respektbekundung,2
"Grüne haben NSU-Akten für 120Jahre gesperrt, zusammen mit der CDU gegen SPD! ...nur mal so zur Info!",Dieser Kommentar enthält Ironie,2
"Ingrid Hitz Deine Lesekompetenz lässt doch arg zu wünschen übrig. Ich bin übrigens Deutscher. Und Neo-Eugenik ist scheisse, warum, muss ich Dir bestimmt nicht erklären.",Dieser Kommentar ist eine externe Quelle,2
die Queen. hört doch mit diesem inszenierten affenstall auf. Es ist doch so egal.,Dieser Kommentar ist ein Lösungsvorschlag,2
"...auch das die ärmeren Eigentümer als Verkäufer (gemessen am Bodenwert) auf dem Land lt. Katarina Barley im Endeffekt höhere Marklerkosten zahlen sollen—als die wohlhabenden Immobilieneigentümer in der Stadt, ist an spezialdemokratischer Krudität kaum noch zu toppen.",Dieser Kommentar ist eine Tatsachenbehauptung,2
"gibt's mal eine Kernfusion,..was ist mit der EU Forschung in Frankreich..",Dieser Kommentar ist eine externe Quelle,2
Sie brauchen das vielleicht nicht. Andere brauchen oder möchten das schon. Es lebe die Vielfalt und besonders die Freiheit.,Dieser Kommentar ist eine Tatsachenbehauptung,2
Also ein Deutscher kann sich noch so anstellen er wird nie ein Österreicher...die besten Chancen haben die Bayern...,Dieser Kommentar ist eine Tatsachenbehauptung,2
"@MEDIUM mir ist neu, dass der WDR sich gegen ""Frighday for Future"" einsetzt! Nein Sie fordern die Schüler auf, am Schule schwänzen teil zu nehmen!",Dieser Kommentar enthält Ironie,2
Und wieder weg - es geht um diese linksgrünen und jedes 2 Wort AfD zum kotzen,Dieser Kommentar enthält Ironie,2
Fazit vom „Nordsee Magazin“ bisher mit Abstand das DÄMLICHSTE! 😊,Dieser Kommentar ist eine externe Quelle,2
@USER hat eine Ähnlichkeit mit ihnen,Dieser Kommentar ist eine Respektbekundung,2
"@USER Herr Junge hat es so gemacht, wie viele in seiner Partei: viel reden- wenig sagen. Ich finde nicht dass ein mantra- mäßig wiederholtes "" aber die linken "" irgendwie hilfreich ist .",Dieser Kommentar ist eine Tatsachenbehauptung,2
@MEDIUM so kann man seine Zuschauer auch vergraulen.,Dieser Kommentar ist eine Respektbekundung,2
"@USER Du weißt so gut wie ich, dass große Tabus bestehen..Und wen wundert es, dass es dann Leute gibt, die dieses Vakuum ausfüllen? Und es ist ziemlich unredlich, jede Islamkritik mit Islamfeindlichkeit gleich zu setzen.. Religionskritik jeglicher Art war bis vor einigen Jahren völlig legitim..Aber der Islam war hier eigentlich nicht mein Thema.Ist ja eh oft durch verstaubte Traditionen beeinflusst.",Dieser Kommentar ist eine Tatsachenbehauptung,2
"Ich habe mehrere Häuser und vergebe Wohnraum ich will dich ja nicht ärgern. Ich habe 2 Häuser, ein 2-Familienhaus bei Köln, meine Wohnung mit meinem Mann mit 150 qm Wohnfläche und 80 qm Terrasse und großem Garten, dort wohne ich am Wochenende, und ein großes Wohn- und Geschäftshaus im gleichen Ort bei Köln. In BaWü habe ich eine ca. 130 qm Wohnung und auf Teneriffa direkt am Meer noch eine 2- Zimmer-Wohnung. Neidisch?",Dieser Kommentar ist eine Respektbekundung,2
CO2 frei wie geht das jeder Pfurzt entwickelt ja schon..,Dieser Kommentar enthält Ironie,2
Kommentare zu diesen #TATSACHEN und #FAKTEN werden NICHT gelesen ! ⛔ werden IGNORIERT ! ⚠ an die #LINKS - #FASCHISTEN : SPART euch eure #HASS - #HETZ - Kommentare ! ⚠,Dieser Kommentar enthält Ironie,2
@USER stimmt aber hat mit meinem Kommentar nichts zu tun sie zurückgebliebene,Dieser Kommentar ist eine externe Quelle,2
"Man merkt, es ist wohl Grundvorraussetzung, um sich für die AfD zu begeistern, über keinerlei politische Bildung zu verfügen.",Dieser Kommentar enthält Ironie,2
"@USER Stimmt, sie sollten viel weniger reden und im Gegenzug mehr schweigen.",Dieser Kommentar ist eine Respektbekundung,2
Falsche Einstellung!,Dieser Kommentar enthält Ironie,2
"@USER ja definitiv, ganz falscher Ansatz der Politik",Dieser Kommentar ist eine Respektbekundung,2
@MEDIUM Ich bin gespannt.,Dieser Kommentar ist eine Respektbekundung,2
