premise,hypothesis,label
@MEDIUM Jaja... aber insgeheim... ? ;) Schönen Abend noch!,Dieser Kommentar ist ein Lösungsvorschlag,2
@USER dagegen habe ich keinen Einwand!,Dieser Kommentar ist eine Respektbekundung,2
"Auch Sie wissen nicht, was Volksverhetzung bedeutet. Schauen Sie einfach ins Strafgesetzbuch.",Dieser Kommentar ist eine Tatsachenbehauptung,2
"Diese Sendung ist wiederlich, 4 gegen 1 einfach nur furchtbar die grünen sind pädophile da sagt niemand was und es wird immer noch nicht begriffen, das sie zu stark ist",Dieser Kommentar ist eine externe Quelle,2
"Und die Waffen die wir dagegen haben sind Herz und Hirn. ""Vor Klugheit und Wissen kommt Toleranz und Güte!""",Dieser Kommentar ist eine Respektbekundung,2
"@USER, boah bist du ein toller Mann, los komm nach Frankfurt, aber das traust du ja nicht, außer im Internet kriegst du nix auf die Reihe, du Schnuckelchens.",Dieser Kommentar enthält Ironie,2
Das frage ich mich auch,Dieser Kommentar ist eine externe Quelle,2
Ich bin hier ⛔ WEG ! ⛔ und LESE KEINE Kommentare ! ⚠ und Tschüss ! ⛔,Dieser Kommentar ist eine Tatsachenbehauptung,2
Der Rest der Welt schert sich einen Dreck und die Deutschen Grünlinge die meinen in ihrem Geistigen Mikrokosmos die Erde retten zu können !,Dieser Kommentar enthält Ironie,2
"Nein, ich gehöre anscheinend auch nur zum blöden Wahlvieh—um die jetzt vor den Wahlen nochmal mit kruden Vorschlägen geworben wird.",Dieser Kommentar enthält Ironie,2
"Mag sein, geht aber nur bei ausreichenden Einkommen, wenn man nicht das Risiko eingehen möchte, den eigenen Hauskredit nach der 10 Jahre Zinsbindung nicht mehr bedienen zu können ;) Zudem fordert gerade die FDP die maximal Flexibilität des Arbeitnehmers, was einem Immobilienbesitz zur Eigennutzung widerstrebt",Dieser Kommentar ist eine Tatsachenbehauptung,0
"Die Regierung sollte es fördern, dass es mehr private Vermieter gibt. So würde ein stabiles Polypol geschaffen.",Dieser Kommentar ist eine Tatsachenbehauptung,0
"Die Reichen werden immer reicher und die Armen immer ärmer. Der Mittelstand schrumpft und knapp 1/3 bis die Hälfte der Bevölkerung ist von Altersarmut betroffen. Die Umverteilung des Geldes ist ein Weg, der unumgänglich ist. Es geht nicht darum Leuten den ganzen Reichtum wegzunehmen, sondern lediglich darum Probleme zu lösen und das Geld muss irgendwo herkommen. Die Reichen und Superreichen werden es überleben, dass sie etwas mehr Steuern für das Gemeinwohl zahlen müssen. Hier wird ja bewusst so getan, als wäre das der Weltuntergang. Hier stellen sich viele auf die Seiten der Reichen und Superreichen. Wie kann man denn so bescheuert sein?",Dieser Kommentar ist eine externe Quelle,0
