premise,hypothesis,label
Scheiss Sozialisten - bestreiten alles! Nur nicht ihren eigenen Lebensunterhalt..... Nichtsnutziges Pack!,Dieser Kommentar ist eine Tatsachenbehauptung,2
"@USER, BILD als Quelle ... So so ...",Dieser Kommentar ist eine Tatsachenbehauptung,2
"wie oft wird da noch besprochen, sehr umständlich wie alles in Deutschland.",Dieser Kommentar ist eine externe Quelle,2
"Ich merke, dass Sie gar nicht wissen, worüber sich Herr Daimagüler äußert, wenn Sie nicht einmal wissen, was Uniter ist.",Dieser Kommentar ist ein Wahrheitsanspruch,2
@USER an ihrem Kommentar deutlich zu erkennen wer hier was tut 😉,Dieser Kommentar ist ein Wahrheitsanspruch,2
"Liebes @MEDIUM-Team... wie wäre es bei solchen Themen denn mal.., einfach nur normale Bürger, mit Erfahrungen aus dem wirklichen normalen Leben einzuladen?? Nicht immer die gleiche ""hohen Personen"" aus Wirtschaft und Politik, die nicht mit vorbereiteten psychologisch ausgearbeiteten und vorbereiteten antworten und Ideen daherkommen..! Einfach mal die wirklichen arbeitetenden Menschen zu Wort kommen lassen! Denn meine klare Meinung ist.. wer nicht den normalen, stressigen und immer schwerer werdenden Alltag im ganz normalem leben kennt..der kann mir auch nichts erzählen und schon garnicht helfen!!",Dieser Kommentar ist eine Tatsachenbehauptung,2
Es gibt auch ganz einfache Entscheidungen: Wollt ihr von Kevin und seiner SPD regiert werden? JA? oder NEIN? 💙💪💙💪💙💪💙,Dieser Kommentar ist eine externe Quelle,2
@USER mit der AFD wird es den Reichen noch besser gehen weil die denen alle Steuern senken wollen und den Mittelstand dafür die Steuern erhöhen. Zudem wollen die keinerlei Unterstützung mehr für Arbeitslose geben.,Dieser Kommentar ist eine externe Quelle,2
@USER Ach schau an. Nach zwei Kommentaren erkennen sie meine politische Einstellung? Ein wunderbares Beispiel für Populismus. Das Leben kann so einfach sein.,Dieser Kommentar ist eine Tatsachenbehauptung,2
Und welche Variante haben wohl Donald Trump und Tim Wiese als Kind heimlich gelesen? 🤔,Dieser Kommentar ist eine Tatsachenbehauptung,2
"wir sprechen von kernenergie, besser als die landschaft zuverunstalten..",Dieser Kommentar ist eine Tatsachenbehauptung,2
"@USER ich bin aber Linksgrünversiffter, und schaff das nicht alleine... 😭😭😭😂 Kleiner Tipp, sie hätten ihren YouTube Link, schneller löschen sollen! 😂",Dieser Kommentar ist eine Tatsachenbehauptung,2
