premise,hypothesis,label
"@USER nur blöd, dass es Halbwahrheiten waren.",Dieser Kommentar ist ein Wahrheitsanspruch,2
@USER schön geschrieben wenn man überlegt wieviel Millionen diese Partei gewählt haben 👍👍Sie haben Recht auch diese Leute wollen Politiker der AfD sehen - Dankeschön,Dieser Kommentar ist eine Tatsachenbehauptung,2
"genau, diese Alten haben den Wohlstand erst möglich gemacht",Dieser Kommentar ist ein Wahrheitsanspruch,2
sei für dich selbst verantwortlich wow was für eine Erkenntnis.,Dieser Kommentar ist ein Wahrheitsanspruch,2
"EUROTRANSPLANT - Der GF ist bestimmt kein Mediziner und kennt diverse Leute von ""Meetings aller Art"" (??)",Dieser Kommentar ist ein Wahrheitsanspruch,2
Warum kann man den Ausweis nicht digital über die Gesundheitskarte speichern..,Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER .Ist alles bekannt. Wollen aber die Grünen nicht hören weil egal,Dieser Kommentar ist eine externe Quelle,2
"@USER - Wasser predigen, Wein trinken. Solche Leute habe ich gefressen.",Dieser Kommentar ist eine externe Quelle,2
Pöbeln gegen Politikwissenschaftler - so primitiv läuft das bei AfD-Anhängern.,Dieser Kommentar ist eine externe Quelle,2
"Ich fürchte, da ist was dran.",Dieser Kommentar ist ein Wahrheitsanspruch,2
@USER ..oder gar linksversiffte !,Dieser Kommentar ist eine externe Quelle,2
FB wird nur gemeckert. Wo sind die Menschen denen es gut geht?,Dieser Kommentar ist eine externe Quelle,2
@USER Toll das wahrscheinlich überhaupt kein Eigentum das ist gut kannst du auch nicht verlieren....Doll,Dieser Kommentar ist ein Wahrheitsanspruch,2
@USER: Und was hat das mit dem Thema zu tun?,Dieser Kommentar ist eine externe Quelle,2
@USER Ja alle gegen einen. Dieses einigeln in die Opferrolle ist bekannt. Nochwas substanzielles zum Thema?,Dieser Kommentar ist eine externe Quelle,2
🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️,Dieser Kommentar ist ein Wahrheitsanspruch,2
"Der hat nur das ausgesprochen, was offensichtlich ist. Angst ist die größte Wahlmotivation...",Dieser Kommentar ist eine Tatsachenbehauptung,2
"Ich habe den Eindruck, das die AFD Wähler nicht für voll genommen werden, es muss tatsächlich erst eskalieren in diesem Land um das auch ein Herr @MODERATOR begreift, das seine Sendung so nicht funktioniert 4 zu 1 und dann noch die Grünen mit dem Verständnis zum Phädolismus grausam, die Landtagswahlen werden die Ergebnisse zeigen und dann bin ich gespannt ob Herr @MODERATOR mal seine Meinung zu seinen Gästen etwas ändert",Dieser Kommentar ist eine externe Quelle,2
"Die Frau hat nicht wirklich sachlich diskutiert. Bei der simplen Nachfrage, warum so viele Erdogan gewählt haben, gleich den Frager persönlich anzugehen, ist einfach nur dumm. Leute nicht aussprechen zu lassen, scheint auch ein Hobby zu sein.",Dieser Kommentar ist eine externe Quelle,2
@USER Wussten Sie nicht - schon klar - bitte selber googl.Oder können Sie das auch nicht???,Dieser Kommentar ist eine externe Quelle,2
"@USER ist der Teddy auf ihrem Profilbild, noch vom ihrem letzten Bahnhofsklatscherbesuch übrig geblieben?",Dieser Kommentar ist eine externe Quelle,2
@USER ja man deine fresse 😅 viel glück bei den Frauen 👍,Dieser Kommentar ist eine externe Quelle,2
@USER Und warum denken Sie das? Das ganze negative Gemotze der Männer hier muss ja einen Grund haben!,Dieser Kommentar ist ein Wahrheitsanspruch,2
"@USER Fragen wir anders herum, was stimmt mit der CDU AKK nicht. Ich bin kein Anhänger der AfD - ich bin in keiner Partei aber gleich zu sagen die waren das und mit der AfD kann man nicht arbeiten ist wohl weit hergeholt und so spaltet man das Land. Das ist meine Meinung und die darf jeder haben - eine Meinung -",Dieser Kommentar ist eine Tatsachenbehauptung,2
":-) sorry, um auf dein Niveu zu kommen müsste ich erst einen 10 Meter tiefen Keller ausheben. Ich kenne Menschenfeinde, wich dich. Fakten sind euch scheiß egal. Was ihr wollt ist nur auf hilfesuchende Menschen drauf prügeln Wenn es keine Flüchtlinge mehr gibt, dann geht ihr auf die Obdachlosen, Hartz 4 Empfänger und Arbeitslose. Ihr wollt die Welt nur brennen sehen.",Dieser Kommentar ist eine externe Quelle,2
"Sie lernen es nie, links scheint denken schwierig zu sein.",Dieser Kommentar ist eine Tatsachenbehauptung,2
30% des Einkommes???,Dieser Kommentar ist eine Tatsachenbehauptung,2
"Diese Sendung ist Mobbing pur. 4 bzw. 5 gegen einen. Meine ganz einfache Frage ist: ""Warum wird gegen die Rechte Szene nicht rigoros vorgegangen. Ebenso gegen die Linken Verbrecher. Diese Frage stelle ich seit die Flüchtlingsunter- künfte z. B. in Möller brannte?"" Es passiert nichts.",Dieser Kommentar ist ein Wahrheitsanspruch,2
"Häng dich weg, du gestörter",Dieser Kommentar ist eine Tatsachenbehauptung,2
"Ich hab jetzt Tikk! Muß die Alu Deckel von Yoghurt immer einzelnd wegwerfen. Zwangsstörung attestiert, cool danke, ich liebe tv framing",Dieser Kommentar ist ein Wahrheitsanspruch,2
A betreibt man wieder AFD bashing. Über die Gäste braucht kein Wort verlieren. Altparteien sollte sich mal selber an die Nase fassen.,Dieser Kommentar ist eine externe Quelle,2
"@USER , in Deutschland hat jeder Gastwirt das Hausrecht und darf einzelne Personen Hausverbot erteilen. Aber wenn man Hausverbot bekommt, nur weil man eine andere politische Gesinnung hat, ist das gegen Artikel 1 unserer Verfasung. Was meinen sie, was passieren würde, wenn ein Wirt einem Muslimen Hausverbot geben würde, weil andere Muslime Terror verbreiten, Messermorde und Vergewaltigungen verüben oder Kinderehen/Vielehen betreiben.",Dieser Kommentar ist ein Wahrheitsanspruch,2
@USER stimmt aber hat mit meinem Kommentar nichts zu tun sie zurückgebliebene,Dieser Kommentar ist eine externe Quelle,2
@USER was machen SIE gerade in Ihrem Text - oh man 🙈🙈🙈🙈,Dieser Kommentar ist eine Tatsachenbehauptung,2
Frau Weltreise auf Mission. Die Klimareligion bekommt wieder ihr Forum beim WDR. Gibt es keine kompetente Gäste zu dem Thema?,Dieser Kommentar ist eine externe Quelle,2
"@USER aha, besser aber als ein weiter so.",Dieser Kommentar ist eine Tatsachenbehauptung,2
Inwiefern?,Dieser Kommentar ist ein Wahrheitsanspruch,2
Demokrat*innen brauchen keine völkisch-nationalistischen Akteure in Talkshows.,Dieser Kommentar ist eine Tatsachenbehauptung,2
"Richtig, habe jetzt ausgeschaltet, kann das Gör einfach nicht anhören...",Dieser Kommentar ist ein Wahrheitsanspruch,2
@USER und nun stelle dir die großen neubauviertel vor. Jeder hat sein Verlängerungskabel aus dem Fenster hängen. Und dann findest du keinen Parkplatz. 🤔,Dieser Kommentar ist eine Tatsachenbehauptung,2
Bei über 60% aus fremder Herkunft hat sich Deutschland schon abgeschafft. 😡,Dieser Kommentar ist eine externe Quelle,0
"Man könnte sagen, dass es seit 21 Jahren abzusehen war. Aber auch ich habe erst angefangen seit 5 Jahren mich intensiv um das Thema Politk zu kümmern. Vorher habe ich immer N-TV oder N24 neben bei laufen lassen, bis ich bemerkt habe, dass da nur ""Nachrichten"" laufen und keine Infomationen gesendet werden. Es zeigt auch die tendenziöse Berichterstattung vieler Sendungen. Büger werden nicht objektiv informiert. Ja, ein großteil der öffentlich rechtlchen und der Pivatsender ist tendenziös und somit kaum zu gebrauchen. Und ja es gibt auch gute öffentlich rechtliche Sendungen, wie die Sendung Monitor, Die Anstalt, die die Story im Ersten und einiges mehr. Nur Narrativ der Medien ist pro Wirtschaft, pro USA und pro NATO. Wichtige Zusammenhänge werden uns so gut wie gar nicht erklärt. Z.B. das Thema Geldsystem, Euro, Außenhandel, Freihandelsabkommen, Wirtschafts- und Rohstoffkriege, UNO Charta, sonstige Fluchtursachen, Lambsdorfpapiere, Agenda 2010, Renten uvm.",Dieser Kommentar ist eine Tatsachenbehauptung,0
Sollte man lieber Fischer von den Grünen zu diesem Thema einladen - Netzfund 😉 https://www.facebook.com/530757183776023/posts/1159622474222821/,Dieser Kommentar ist eine externe Quelle,0
