premise,hypothesis,label
Beim linksgrünen Klima- und Weltuntergangswahn nicht mitzumachen zeugt von einem IQ über 100.,Dieser Kommentar ist ein Wahrheitsanspruch,2
"Was haben die Grünen mit dem Begriff Heimat gemeinsam? Über beides wird viel geredet, ist aber inzwischen rein illusorisch.",Dieser Kommentar ist eine Tatsachenbehauptung,2
Das grüne gesindel ist auch wieder dabei,Dieser Kommentar ist eine externe Quelle,2
@USER für die wird sogar gebaut.,Dieser Kommentar ist eine Tatsachenbehauptung,2
"Das ist mir nicht entgangen, lebe nicht in einem Loch .",Dieser Kommentar ist eine externe Quelle,2
@USER wenn er seine Hühner für diesen Preis los wird ist das doch OK,Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER Inwiefern?,Dieser Kommentar ist eine Tatsachenbehauptung,2
"@USER Natürlich ändern DIE LINKE alles. Warum bist du der Meinung, dass DIE LINKE auch nichts ändert?",Dieser Kommentar ist ein Wahrheitsanspruch,2
"Ach so, da kommt sehr deutlich heraus, dass AfD-Politiker reinstes Blut-und-Boden-Denken haben wie die Nazis.. Nichts anderes wird hier in völkisch-rassistischer Manier gerade postuliert. @MEDIUM, das geht für Sie in Ordnung, ja?",Dieser Kommentar ist ein Wahrheitsanspruch,2
"Es geht sogar soweit, dass jetzt sogar schon pro Sendung ZWEI GrünInnen eingeladen werden (Lanz#).",Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER womit.,Dieser Kommentar ist ein Wahrheitsanspruch,2
Und für mich sind Sie a u c h eine Deutsche :-),Dieser Kommentar ist eine externe Quelle,2
"@USER Es sind alle Staaten in der Pflicht. Wenn sich einzelne Staaten, wie z.B. die USA ausnehmen, kann das kein Vorbild für die anderen Staaten sein.",Dieser Kommentar ist eine Tatsachenbehauptung,2
Nachname Programm? 🤔,Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER weil da nur deletanten am Werk sind,Dieser Kommentar ist eine Tatsachenbehauptung,2
"@USER , wer die AfD mit der NSDAP vergleicht und gleichsetzt, beleidigt die Opfer der schlimmsten 12 jahre Deutschlands.",Dieser Kommentar ist eine externe Quelle,2
Wer andere als Populisten bezeichnet ist selbst einer.....,Dieser Kommentar ist eine Tatsachenbehauptung,2
"@USER, ich brauche keinen Plan. Ich bin privat versichert plus privatem Pflegetagegeld. Übrigens bei der AXA! Kann ich nur empfehlen! 😉👍",Dieser Kommentar ist ein Wahrheitsanspruch,2
ICH wünsche JEDEM dass er niemals auf ein spenderorgan angewiesen ist....,Dieser Kommentar ist eine Tatsachenbehauptung,2
Ich Rolle eher bei ihren Aussagen mit den Augen.,Dieser Kommentar ist eine externe Quelle,2
"Und die Waffen die wir dagegen haben sind Herz und Hirn. ""Vor Klugheit und Wissen kommt Toleranz und Güte!""",Dieser Kommentar ist ein Wahrheitsanspruch,2
"Die Grüne Vertreterin war grottenschlecht. War nicht anders zu erwarten. Nur Phrasen, keine Lösungen und wenn dann mit Milliarden an Steuern. Eine grüne Regierung wird sehr teuer. Nicht zu vergessen, die gewollte Abschaffung Deutschlands und derer, die schon länger hier leben.",Dieser Kommentar ist eine externe Quelle,2
"@USER auf fb ist ""du"" üblich, selbst fb duts.. aber trotzdem, ENTSCHULDIGUNG. 😉",Dieser Kommentar ist ein Wahrheitsanspruch,2
""" Das alles führt zu Konkurrenzsituationen! "" Das ist rchtig. Aber auch hierfür gibt es simple Lösungen.",Dieser Kommentar ist eine Tatsachenbehauptung,2
"@MEDIUM tja, wenn Theorie und Praxis auseinanderklaffen...😉",Dieser Kommentar ist ein Wahrheitsanspruch,2
"Wer den gleichen Job bei gleicher Qualifikation macht, muss auch das Gleiche Geld verdienen. Alles andere ist ungerecht. Es ist ja nur nicht das Geld. Frauen bekommen nunmal Kinder und viele Unternehmen sehen den Arbeitnehmer wohl nicht als Mensch, sondern als Arbeitskraft, da haben es Frauen allgemein schwerer. Es muss doch möglich sein, dass Frauen da besser unterstützt werden.",Dieser Kommentar ist eine externe Quelle,2
Lanz ist ein Projekt,Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER danke für Ihre weisen Worte.,Dieser Kommentar ist eine externe Quelle,2
"@USER  @USER, reflexartig AfD? Sie tun mir leid!! Ich rede von Liberalen oder Konservativen! Egal, Sie sind eh schon indoktriniert!!!",Dieser Kommentar ist eine externe Quelle,2
"Ach so, ich trage auch keine Jeans, da bin ich sicher schon in den 80ern indoktriniert worden ...VOM ISLAM. 😂",Dieser Kommentar ist ein Wahrheitsanspruch,2
@USER das glaube ich aber nicht,Dieser Kommentar ist eine Tatsachenbehauptung,2
@MEDIUM Ich könnte noch einiges dazu schreiben. Aber ich lass es lieber.,Dieser Kommentar ist eine externe Quelle,2
Der altmeier auch von der CDU,Dieser Kommentar ist ein Wahrheitsanspruch,2
"Gegen Dummheit hilft, Bildung, mehr, effizienter!",Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER bist du jetzt dafür auch ein Spender?,Dieser Kommentar ist ein Wahrheitsanspruch,2
"Sie beleidigen mit ihrem Kommentar alle Opfer des Nationalsozialismus und verharmlosen dadurch die echten Nazis! Von Geschichte Reden, aber Geschichte nicht verstehen. Schämen Sie sich!",Dieser Kommentar ist eine Tatsachenbehauptung,2
"Unfassbar ist, dass Jemand nach den Erfahrungen in der DDR Enteignungen fordert",Dieser Kommentar ist ein Wahrheitsanspruch,2
Keine Argumente gegen die Grünen?! Das ist lustig. Es sind Kryptokommunisten. Reicht das nicht? ;-),Dieser Kommentar ist eine externe Quelle,2
"Das finanzielle mal hin oder her, außerdem ist es doch viel schöner die Zeit mit seinen Kindern zu verbringen als mit lauter verhaltensgestörten Person in Berlin😂",Dieser Kommentar ist eine Tatsachenbehauptung,2
Schon mal was von verdeckter Kriegsführung gehört?,Dieser Kommentar ist eine externe Quelle,2
Wie Respektvoll findet @MEDIUM denn die Frage nach der Herkunft überhaupt?,Dieser Kommentar ist ein Wahrheitsanspruch,2
"@USER, alles Quatsch. Viele werden einfach gar nicht mehr verkaufen, wenns die Umstände nicht erzwingen.",Dieser Kommentar ist eine Tatsachenbehauptung,2
@USER und die CDU?????,Dieser Kommentar ist eine externe Quelle,2
@USER Damit Sie sich gut fühlen dürfen...,Dieser Kommentar ist eine Tatsachenbehauptung,2
Kommrntare zu diesen #TATSACHEN und #FAKTEN werden NICHT gelesen ! ⛔ werden IGNORIERT ! ⚠ und Tschüss ! ⚠,Dieser Kommentar ist eine Tatsachenbehauptung,2
"@USER klar , Deutschland ist Paradies für uns kanacken und wo anders ist das leben unerträglich gel 🤦‍♂️",Dieser Kommentar ist eine Tatsachenbehauptung,2
Dieser Hass und diese Hetze ist entstanden weil sich der Staat und die Presse gegen sein Volk gewendet hat. Jetzt geht der Staat langsam aber sicher gegen Polizei und Armee vor... überall Nazis!?!? Die Kinder werden zum Ungehorsam gegen alles erzogen. Schulpflicht gibt es zb nicht mehr. Was entsteht da? Demokratie? Sicher nicht!,Dieser Kommentar ist eine Tatsachenbehauptung,2
"@USER das wird sicher denjenigen, die akut suchen, nicht mehr helfen. Und nur wril es möglich ist, ist es nicht richtig. Das würde auch bedeuten , wril andere schlecht bezahlen, zahl ich auch schlecht. Es ist und bleibt unanständig!",Dieser Kommentar ist ein Wahrheitsanspruch,2
Lohnt sich die Wiederholung anzusehen? Frage für einen Feind.,Dieser Kommentar ist eine externe Quelle,2
@USER heule ich ? Mensch petra reg dich mal ab du alte Buttermilch,Dieser Kommentar ist eine Tatsachenbehauptung,2
"Wir brauchen keine Moralapostel und Prediger der Medienwelt, sondern wahre Vordenker und Visionäre und die fehlen mir bei der ganzen Aktion.",Dieser Kommentar ist eine externe Quelle,2
@USER Dieser Frau noch ein Podium zu geben ist So was von Idiotisch. Die Hetzt total und weiss nicht was sich gehört. @MODERATOR sollte man ablösen Ich zahle keine Fernsehgebüren mehr . Leute wählt bloß AFD,Dieser Kommentar ist eine Tatsachenbehauptung,2
Klar wenn die überhebliche Ergrauende Generation auf unser Kosten aufs Klima scheißt wird man wohl mitreden dürfen.,Dieser Kommentar ist eine externe Quelle,2
bleibt mir mehr Fleisch..,Dieser Kommentar ist eine externe Quelle,2
"@USER Wer ""schlachtet"" die Mieter aus? Die wollen ja schließlich auch nicht in heruntergekommenen Barracken wohnen",Dieser Kommentar ist eine externe Quelle,2
Dieser Kommentare gehen mir derart auf die Nerven!,Dieser Kommentar ist ein Wahrheitsanspruch,2
