premise,hypothesis,label
@MEDIUM A ha die rechte Gewalt ist also keine Sendung wert ? Genau aus diesem Grund fühlen sich Muslime als Menschen zweiter klasse über die ebendso schrecklichen Anschläge in Frankreich wie beu Charli Hebdo gab es zich Sondersendungen https://www.youtube.com/watch?v=Gx97aqRNAxQ.,Dieser Kommentar ist Zynismus,2
"@USER Interessante Wortkombination ""hergebeten werden"" und ""bleiben dürfen"". Entlarvt aber auch den Kommentator, jedenfalls, wenn man die Feinheiten der wundervollen deutschen Sprache beherrscht.",Dieser Kommentar ist eine Beleidigung,2
Lanz ist ein Projekt,Dieser Kommentar ist Zynismus,2
Sehe ich ganz genauso und habe via Spendenausweiß widersprochen.,Dieser Kommentar ist eine Beleidigung,2
Ich muss dabei z. B. an Sylt denken... W A H N S I N N! Oder London.... Man könnte weiter aufzählen... Es geht nicht mehr ums Wohnen. Das ist so schrecklich..,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
Bei lanz waren ja wieder zwei Typen am Donnerstag .hab mir die Sendung nicht angeschaut .,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"Den Wihnungsmarkt kann man nur heilen wenn man Eigentumsbildung fördert das Deutschland mal eine vernünftige Eigentumsquote hat.jetzt 35 % Italien,Irland,Rumänien 93% ...Wer in ein Eigentum zieht macht eine Mietwohnung frei...Doll",In diesem Kommentar findet man Diskriminierung,2
Stefano Heitmann stimmt das? Omg,Dieser Kommentar ist eine Beleidigung,2
Auf dem Land gute Luft und schnelles Internet reicht vollkommen..,Dieser Kommentar ist eine Beleidigung,2
@USER und an einem lupenreinen Demokraten ist was verkehrt?,Dieser Kommentar ist eine Beleidigung,2
"@USER Kein Gesetz zwingt mich zu Dingen hinter denen ich nicht stehe ,bin keine Leibeigene des Staates",In diesem Kommentar findet man Diskriminierung,2
Die ist Bauexpertin? Oder isr vielleicht Europawahlkampf?,In diesem Kommentar findet man Diskriminierung,2
@USER wenn Leben erhalten werden kann durch Organe die sonst niemand mehr braucht die sonst in der Erde zu Staub zerfallen dann sollte es selbstverständlich sein sich für das Leben zu entscheiden!,Dieser Kommentar ist eine Beleidigung,2
@USER Änoch vor der Wahl umsetzen sonst bleib5s wie immer,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
@USER Die ganze Sendung ist ein Hohn ! Ich bin Stolz ein Deutscher zu sein . Wir gehen fleißig Arbeiten zahlen Steuern und bringen unser Land zum Erfolg so das es in der ganzen Welt geachtet ist. Diese angeblich Deutsch- Türkin soll doch in die Türkei gehen und dort auf der Bühne so reden über die Türken wie hier über die Deutschen . Dann ab in den Knast,Dieser Kommentar ist eine Beleidigung,2
Wash Saloon ..,Dieser Kommentar ist eine Beleidigung,2
"Das kann man ,so leid es mir tut, nicht vergleichen. Wie man bei der in der Talkrunde gezeigten Statistik sehen konnte, handelt es sich bei linkem Extremismus in der Regel um Sachbeschädigung, Widerstand gegen Polizisten usw. Rechter Extremismus äußert sich mit Bedrohungen, in Gewalt gegen Personen bis hin zu Mord. Mit seiner Hetze die man überall nachlesen kann, ist Herr Junge auch ein Täter - ein Brandstifter. Wohin diese verbalen Entgleisungen führen, hat man jetzt an Herrn Lübke, Frau Reker usw... gesehen.",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
Ja und was war daran schlecht,Dieser Kommentar ist eine Beleidigung,2
@USER Tritin sitzt immer noch im Bundestag! aktueller geht es nicht mehr!,In diesem Kommentar findet man Diskriminierung,2
"Lieber Staat, nehme doch mal die enorme Steuer- und Abgabenlast runter, damit den arbeitenden Menschen mehr im Portemonnaie bleibt!! Ach nee, es müssen noch Millionen mit durchgefüttert werden!!",Dieser Kommentar ist eine Beleidigung,2
@USER sind sie der Meinung dass das winzige Deutschland ihn aufhalten kann ? 😂😂,Dieser Kommentar ist Zynismus,0
🤦🏼‍♂️,Dieser Kommentar ist humoristisch veranlagt,0
"Was sagen die Grünen & deren Wähler zu den hunderten ""Einzelfällen"" jeden Tag überall in 🇩🇪 ! ❓ Hier der neuste Fall : 🔻🔻🔻🔻🔻🔻🔻🔻🔻🔻🔻 https://www.nrz.de/staedte/duesseldorf/frau-in-duesseldorf-duesseltal-vergewaltigt-id216529649.html?fbclid=IwAR3qs_2sUNQTq3cLyezPtKp-oqK4M1GObkUFbURtVCvwFRUpn2NGYdKcMdQ",In diesem Kommentar findet man Diskriminierung,0
"@USER, ich sehe nur, Daß auch DU um die Welt fliegst, und Andere mit deiner Ökorhetorik zumüllst.",Dieser Kommentar ist gegen eine Gruppe gerichtet,0
Die meisten Deutschen nehmen doch alles hin. Sind zu faul und oder zu träge aufzustehen - traurig!,Dieser Kommentar ist gegen eine Gruppe gerichtet,0
"@MEDIUM jo, schön relativieren . Das es aber durch den Zuzug massiv eskaliert wird , dürfte aber wohl völlig unstrittig sein! Wer bezahlt denen die Wohnungen eigentlich , wo doch 67% in H4 landen !?🤬",Dieser Kommentar ist gegen eine Gruppe gerichtet,0
„@MEDIUM“ sollte sich umbenennen in „linksgrün und unfair“...,Dieser Kommentar ist humoristisch veranlagt,0
@USER: Überflussiger - dämlich - dummer Kommentar ! 🙈 Gehen Sie #OFFLINE ! ⛔ und gucken Sie weiter ihre geliebten RTL 2 - #Volksverdummungs - Serien ! 🙈 und Tschüss ! ⚠,Dieser Kommentar ist gegen eine Gruppe gerichtet,0
"""Sie an die Gleichberechtigung von Frau und Mann oder den Umgang mit Homosexuellen."" Und das aus dem Mund eines CDUers. Wie heuchlerisch. AKK würde die Ehe für alle sofort rückgängig machen, wenn sie es könnte.",Dieser Kommentar ist gegen eine Gruppe gerichtet,0
Ihre Heimat ist doch noch die SBZ,Dieser Kommentar ist humoristisch veranlagt,0
na so was kaum eine Debatte über das Klima und das Wetter schlägt um saukalt jetzt danke @MODERATOR...,Dieser Kommentar ist humoristisch veranlagt,0
@USER -- h @MEDIUM !! 🤣,Dieser Kommentar ist humoristisch veranlagt,0
