premise,hypothesis,label
Da werden die Berufsdemonstranten gut versorgt.,In diesem Kommentar findet man Diskriminierung,2
"Sehr interessant diese Gästeauswahl, da Diskutieren 2 arabische und 2 linke Gäste was deutsche Heimat ist... findet den Fehler",Dieser Kommentar ist eine Beleidigung,2
War schon Thema bei Illner. Könnt ihr euch nicht abstimmen? Am besten noch die selben Leute einladen.,Dieser Kommentar ist humoristisch veranlagt,2
"@USER WO erhebe ich mich über andere? Mein Eingangskommentar befasst sich damit, dass Herr @MODERATOR den Shitstorm nicht verstanden hat, den der Titel seiner Sendung hervorgerufen hat. Ich erkläre es ihm. Wenn Du Dich dadurch getriggert fühlst, ist das nicht mein Problem, sondern Deines.",Dieser Kommentar ist Zynismus,2
Was sind die denn dann die Altparteien. Heilige oder was,In diesem Kommentar findet man Diskriminierung,2
"Manche sind vielleicht unverbesserlich oder unsensibel. Unsensible oder Unaufmerksame äußern sich mal dämlich. Aber wenn Sie sie fragen würden: ich habe einen deutschen Pass, ich mag es hier, ich würde gerne bleiben, sagt jeder (abgesehen von wenigen Unverbesserlichen): klar, sorry, war doof von mir. Echt, Ihnen gefällt es hier, sind wir nicht zu unfreundlich und humorlos hier? Freut mich, wenn Sie es hier mögen“",Dieser Kommentar ist humoristisch veranlagt,2
Genau. Und Europa judenfrei. Parallelen zur Islamparanoia der AFD sind rein zufällig. Ihr in eurer Opferrolle. Lächerliche Heuchler.,Dieser Kommentar ist Zynismus,2
GESELLSCHAFTEN erhalten wenn sie Ausländerin die Wohnung setzen 5000 € vom Staat. 1992 erhielten sie 10.000 DM. Darüber redet niemand.,Dieser Kommentar ist eine Beleidigung,2
Framea die germanische Wurflanze-Spies..,Dieser Kommentar ist Zynismus,2
@USER Ich lebe in einem Dorf im tiefsten Niederbayern.. aber es gibt keine einzige Wiese.Nur Agrarwüste soweit das Auge reicht,Dieser Kommentar ist Zynismus,2
Die Mitgliedsländer sind ja nur die europäischen Zwerge.,Dieser Kommentar ist Zynismus,2
@USER Habe ich mir auch gerade gedacht. Eine Unverschämtheit so eine Ansage zu machen !,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
@USER Abwählen,Dieser Kommentar ist eine Beleidigung,2
