premise,hypothesis,label
@USER gut findet? alles klar - kein Kommentar - sinnlos!,In diesem Kommentar findet man Diskriminierung,2
"@USER das wird sicher denjenigen, die akut suchen, nicht mehr helfen. Und nur wril es möglich ist, ist es nicht richtig. Das würde auch bedeuten , wril andere schlecht bezahlen, zahl ich auch schlecht. Es ist und bleibt unanständig!",Dieser Kommentar ist eine Beleidigung,2
@USER eine Frechheit sondergleichen Ihr Kommentar!,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
@USER nachschauen unter RAF,In diesem Kommentar findet man Diskriminierung,2
"Heutzutage scheint vielen eine Gesellschaft vorzuschweben, in der in jedem nur denkbaren Beruf und in jedem sozialen Milieu gleich viele Frauen und Männer arbeiten, und zwar zu exakt den gleichen Bezügen, während die Sprache geschlechtlich vollkommen neutralisiert wurde und im Kindergarten (natürlich verpflichtend ab dem 1. Lebensjahr!), der Schule und der Uni jede Unterscheidung nach Geschlecht hart bestraft wird! Diese euch vorschwebende Gesellschaft, liebe Leute, ist allerdings der reinste, unmenschlichste Horror! Ich wähle die Freiheit!",In diesem Kommentar findet man Diskriminierung,2
"Gilt das etwa auch für die Polizisten von Uniter, NSU 2.0, Nordkreuz oder der Münchener Whatsappgruppe?",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
macht es das besser?,Dieser Kommentar ist eine Beleidigung,2
"""Selbst wenn es einigen Geflüchteten gelingen sollte, hier Lesen und Schreiben zu lernen (was ich aber angesichts der Tatsache, dass es schon für analphabetische Muttersprachler schwer ist, für sehr unwahrscheinlich halte),"" Ich habe mich schon mit einigen Flüchtlingen unterhalten, die nicht nur unsere Sprache sprechen, sondern wesentlich gebildeter sind als ich und du.",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
@USER Ich möchte kein Organ von einem fremden Menschen.,In diesem Kommentar findet man Diskriminierung,2
"Nein, wer solche blasphemischen Fragen wie Sie stellt, ist natürlich ein ganz harter brauner Nazi. :D Und ja, das war Ironie ;)",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"@USER Dann hätte der Osten Lafontaine und nicht Kohl wählen dürfen, dann wäre die Landung sanfter gewesen.",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"@MEDIUM aber leider schade, dass nur einer davon da ist, der wird dann wieder von allen angegriffen.",Dieser Kommentar ist humoristisch veranlagt,2
@MEDIUM das ist nicht die Antwort auf seine Frage.,Dieser Kommentar ist eine Beleidigung,2
Welches Problem haben Sie mit Herrn Daimagüler?,Dieser Kommentar ist Zynismus,2
"Was haben Sie an meinen Ausführungen nicht verstanden? Die AfD hat bereits vor Jahren auf Ihrer Haupt-Facebookseite gegen Lübcke gehetzt. Das ist verbrieft. Hier bitteschön, schauen Sie sich diesen Beitrag von @MEDIUM heute an: ""Erst nach dem Lübcke-Mord löschte die Partei einen umstritten Post auf ihrer Facebook-Seite. In den Kommentaren drohten User auch, den Kasseler Regierungspräsidenten umzubringen."" https://www.zdf.de/nachrichten/heute-plus/videos/afd-auf-facebook-100.html",Dieser Kommentar ist humoristisch veranlagt,2
"Das Erste Ich kann da beim besten Willen keine Unsachlichkeit entdecken, sondern eine Tatsache. Aber ich muss von mir den Ton von Manfred Egloff MühlenWetter gefallen lassen? Aber das ist ja schön, dass Sie sich da endlich drum kümmern. Hoffe auch bei denen, die sich sonst auch ""unsachlich"" verhalten. Da konnte ich nämlich leider bisher keine Reaktion Ihrerseits entdecken. Ich glaube, ich müsste mal viel öfter Kommentatoren melden...",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
@USER na dann kann man ruhig von allen Studierenden Deutschen in Österreich etwas verlangen...,In diesem Kommentar findet man Diskriminierung,2
"Sie beleidigen mit ihrem Kommentar alle Opfer des Nationalsozialismus und verharmlosen dadurch die echten Nazis! Von Geschichte Reden, aber Geschichte nicht verstehen. Schämen Sie sich!",In diesem Kommentar findet man Diskriminierung,2
"Es ist fatal die einen hilfesuchenden Menschen, gegen andere hilfesuchende Menschen auszuspielen. Anstatt nach unten zu treten müssen wir endlich nach oben die die Augen unserer Ausbeuter schauen.",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"@USER Ja ist doch so, jeder lebt nur ein mal und wenn es möglich ist wird es doch gemacht. Kenne Nachbarn die fahren ( fliegen) 4-5 mal in den Urlaub ,im Jahr, die verzichten auf nichts.",Dieser Kommentar ist Zynismus,2
@USER Die Hessen-Grünen beschlossen zusammen mit CDU gegen SPD die NSU-Akten 120Jahre verschwinden zu lassen. Das Wort Demokratie dürfen Grüne somit nicht mehr in den Mund nehmen!,Dieser Kommentar ist eine Beleidigung,2
@USER auch hier hatespeech vom Feinsten!!,Dieser Kommentar ist humoristisch veranlagt,2
"@USER, die Grünen sind ja auch kräftig dabei! Sage nur eins: ""Schützenaufmarsch"" Ich amüsiere mich köstlich 😉😂😂😂",In diesem Kommentar findet man Diskriminierung,2
Wie ticken die heutigen Politiker mit ihren Beratern?,Dieser Kommentar ist eine Beleidigung,2
@MEDIUM haben Sie da nicht jemanden vergessen?,Dieser Kommentar ist Zynismus,2
Ich habe seit ca 15 Jahren einen Spenderausweis wenn es dann so weit ist Bitte Bedienen da ich eh nichts mehr Brauche 😑 !! Die die mir hier mit Glauben und Co kommen Leben für MICH sehr Weltfremd und Egoistisch!,Dieser Kommentar ist eine Beleidigung,2
"@USER, leider sind Manche bei uns in München immer noch nicht wirklich in Bayern angekommen. Leider!",Dieser Kommentar ist humoristisch veranlagt,2
@USER damit keine Spekulation getrieben wird beispielsweise,In diesem Kommentar findet man Diskriminierung,2
volltreffer,Dieser Kommentar ist eine Beleidigung,2
"@USER kann dich beruhigen kenne die ostler, die haben die nase endlich voll vom chemischen Biogemüse",In diesem Kommentar findet man Diskriminierung,2
Und dann nimmt noch jeder Völkische mindestens einen NPD-Faschisten aus dem sehr nahen Osten bei sich zu Hause auf.,Dieser Kommentar ist eine Beleidigung,2
"Warum machst du das denn nicht, @USER. Fürs Nichtstun reich werden. Das würde doch jeder wollen.",Dieser Kommentar ist Zynismus,2
"Geehrtes @MEDIUM Team. Zunächst zu der Frage: ja 75 Minuten hätte ich mir zugetraut. Nun zu meiner Aussage: Genau an so einem Tisch stelle ich mir einen Leihen vor, der seine Wahlbeteiligung und dessen Gründe erläutern kann. Dadurch würde die Runde authentischer und, so zumindest meine Einschätzung, volksnäher. Ich verfolge ihre Sendung sehr gerne und auch nächste Woche wieder. Es ist leider immer wieder schade zu sehen, dass genau an der Stelle, wo das Thema richtig groß ist, der Normalbürger nur im Hintergrund ist. Sie haben mit Sicherheit alle Kommentare der Sendung gelesen und hoffentlich auch gesehen, dass die Mehrheit der Meinungen sehr einfach sind und die Gäste der Sendung dies aber nur spekulativ diskutieren.",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
fragt sich nur für was gelle ;),Dieser Kommentar ist gegen eine Gruppe gerichtet,2
@USER ja @USER! Reicht das als seriöse Quelle? Das ist der Oberbürgermeister von Tübingen!,Dieser Kommentar ist Zynismus,2
@USER .So ist es,Dieser Kommentar ist eine Beleidigung,2
"Glaubst Du im Ernst, der Mafia ist das nicht egal, ob Deine Organe gesund sind? Die will einfach nur Geld verdienen. Genauso wie bei den Fleischskandalen ist es auch in der Medizin inzwischen! https://www.welt.de/politik/ausland/article13723382/Das-blutige-Geschaeft-mit-Organen-vor-Israels-Grenze.html?fbclid=IwAR1OOmS4k_xyRPH80IyuhFXacux3Qz5dAnIpKrbK6rTjKXRkPZ08CcPhfg8",In diesem Kommentar findet man Diskriminierung,2
"Haben die GRÜNEN genug Gewicht, um im EU-Parlament was entscheidendes zu bewirken?",Dieser Kommentar ist eine Beleidigung,2
"Um das Thema mit Faktizität zu untermauern und ihm genügend Raum zu bieten: ""(...) Zumindest bis dahin wurde der rechte Terrorismus unterschätzt: Dabei war rechter Terrorismus in der Bundesrepublik keine Ausnahmeerscheinung: Der Terrorismusexperte Daniel Köhler hat das belegt. 2015 wertete er systematisch und akribisch Verfassungsschutzberichte, Gerichtsurteile, Presseartikel aus und er suchte in antifaschistischen Archiven nach Dokumenten zu rechten Terrorakten in Deutschland. Seine Datenbank listet vereitelte oder erfolgreiche Taten auf: 12 Entführungen, 174 bewaffnete Überfälle, 123 Sprengstoffanschläge, 2173 Brandanschläge, 229 Morde mit rechtsextremen Motiven seit 1971.(...)"" https://www.deutschlandfunk.de/rechtsterrorimus-in-deutschland-zeit-fuer-einen-anderen.724.de.html?dram%3Aarticle_id=452002",Dieser Kommentar ist humoristisch veranlagt,2
Heimat ist dort wo die Berge nah dem Himmel sind und nicht im flachen Norden...,Dieser Kommentar ist eine Beleidigung,2
@USER werde ich auch,Dieser Kommentar ist eine Beleidigung,2
So.... nochmal das es auch alle verstehen ! https://www.facebook.com/andreas.turschmann.3/videos/1244161859075732/,Dieser Kommentar ist Zynismus,2
"@USER Wenn ich die Mieten von Berlin und Düsseldorf vergleiche, dann ist Berlin immer noch günstiger",Dieser Kommentar ist humoristisch veranlagt,2
"Es geht hier um rechten Terror und nicht darum, völkischen Nationalismus schönzureden.",Dieser Kommentar ist eine Beleidigung,2
@USER Die ist mir auch zu Aggro.,In diesem Kommentar findet man Diskriminierung,2
"@USER du verstehst es einfach nicht.Und diese Art zu argumentieren hat wie gesagt,zu meinem,, Nein,, mit beigetragen.Vielleicht sollten sich Organspende- Berführworter und ihre Art des Argumentierens mal gnadenlos ehrlich selbst reflektieren.Mit diesem Fordern mit unterschwelligen Drohungen (,,bis du mal selbst,etc...,,) erweist ihr der Sache einen echten Bärendienst.",Dieser Kommentar ist Zynismus,2
"@USER lesen Sie doch hier mal die Kommentare einfach durch - wo schreiben HIER pro AfD Leute ""Hass Kommentare"" und dann lesen Sie die Kommentare der Gegenseite -",Dieser Kommentar ist humoristisch veranlagt,2
"@USER die Pharmaindustrien ! Die Empfänger müssen ein Leben lang einen Cocktail aus Immunsuppressiva einnehmen, die hoch krebserregend sind......wenn nach ca.fünf Jahren dann der Krebs ausbricht verdienen sie wieder !",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"Die Spanne zwischen Arm und Reich geht immer weiter auseinander und du willst mir sagen, dass die das alles hart erarbeitet haben? Durch Lohndumping, Steuervorteile bei Bankgeschäften, Steuerschlupflöcher..... ist das erst in dem Maße möglich. Der Großteil der Reichen Erben gehen nicht arbeiten, weil sie von dem Geerbten Leben und trotzdem wird das Geld immer mehr. Das liegt daran, dass Arbeit wesentlich höher besteuert wird, als Kapitalanlagen. Beamte machen ein normalen Job, wie jeder andere auch. Deine Dramatologie in dem Bereich ist echt übertrieben und es geht NICHT um Neid, sondern um die Lösung von Problemen.",Dieser Kommentar ist humoristisch veranlagt,2
"Es sollten viel mehr bezahlbare Kleinwohnungen gebaut werden, dann kommt so mancher mit seinem Geld aus. Wer nun im Alter keine findet, ,landet im Obdachlosenasyl.. mit Junkys und psychisch Kranken im Fünfbettzimmer..und muss zwischen morgens und Abend die Einrichtung verlassen. Betrifft mittlerweile ganz normale kleine Leute.Einmal den Stempel OFW im Pass, darf man auch nicht mehr wählen. Hätte ich nicht für möglich gehalten,wenn ich es nicht gerade erleben würde. Versuche, einem älteren Herrn zu helfen.",Dieser Kommentar ist humoristisch veranlagt,2
"wie viele Überstunden werden ""Schwarz"" ausbezahlt..",Dieser Kommentar ist Zynismus,2
@USER Das Wort Teenager wahrscheinlich,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
Ich bin mir ja unschlüssig ob man mit ihnen nachsichtig sein soll oder an ihnen ein Exempel statuieren sollte. Letzteres würde die EU zweifler vll mal zum schweigen bringen. Denn wenn man sich alleine anschaut wie den Briten kurz nach der Brexitentscheidung der Kurs ihres geliebten Pfunds abgeschmiert ist kann man sich ja ausmalen wie das Land beim Harten Brexit vor die Hunde gehen könnte.,Dieser Kommentar ist eine Beleidigung,2
"@USER nicht ganz richtig die Aussage, wohl eher Wunschdenken",In diesem Kommentar findet man Diskriminierung,2
Und für mich sind Sie a u c h eine Deutsche :-),Dieser Kommentar ist humoristisch veranlagt,2
