premise,hypothesis,label
""" 675 Milliarden!"" Das ist dein Denkfehler. Auf was für Einnamen kann denn der Staat Deutschland zurück greifen?",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
@MEDIUM ich euch gefragt warum der Post von jemanden gelöscht wurde wo dargelegt wird wie oft Luisa fliegt ?,Dieser Kommentar ist eine Beleidigung,2
@USER ach @USER🙈🤣🤣🤣,In diesem Kommentar findet man Diskriminierung,2
"Wer von einer japanische Kultur spricht, wird auch nicht hören, dass es die ja gar nicht gibt :-)",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"Manchmal habe ich das Gefühl, dass in der Sendung symbolisch genau das passiert warum die Volksparteien an Boden verlieren - die Gäste reden viel aber der Inhalt ist oft unerfüllt. Geehrtes @MEDIUM Team es wäre echt mal interessant nicht die Spekulationen der Politiker über das Volk zu hören sondern mal einen Gast aus dem Volk in der Runde zu haben der seinen Gedankengang schildern selber schildern kann.",Dieser Kommentar ist humoristisch veranlagt,2
@USER im Unterschied zu Ihnen ein sehr höflicher Mensch!,Dieser Kommentar ist humoristisch veranlagt,2
Na und? Kannst alles besser machen.,In diesem Kommentar findet man Diskriminierung,2
"Was sollen das für Geschenke an die Rentner bloß sein ! Den Rentnern wurde die Rente geklaut , müsste es heißen .",Dieser Kommentar ist humoristisch veranlagt,2
Welches Problem haben Sie mit Herrn Daimagüler?,Dieser Kommentar ist eine Beleidigung,2
"Ich möchte kein Gesetz, dass eine Quote von Frauen in Führungspositionen festlegt. Auch als Frau sollte man nur dann eine Führungsposition anstreben, wenn die dazugehörigen Kernkompetenzen vorhanden sind. Eine typische klassische Fehlbesetzung ist zum Beispiel unsere Verteidigungsministerin. Sorry das ich das sage, doch Sie wäre als Familienministerin besser. Allerdings wäre es wünschenswert das Mann und Frau im Berufsleben gleichgestellt werden, wenn beide die gleichen Voraussetzungen bzw. Qualifikation vorweisen können.",Dieser Kommentar ist humoristisch veranlagt,2
@USER fragen sie mal die Bildzeitung . Mein lieber zinni ey,In diesem Kommentar findet man Diskriminierung,2
@USER Aber dann bitte auch selber kein Organ annehmen wenn es mal nötig werden sollte.,Dieser Kommentar ist Zynismus,2
"Sie Wissen dann das Sie Tatsächlich Tot sind, das bringt das Leben nun EINMALIG mit sich!!",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"@USER🤦‍♀️ Was die Bedeutung des Wortes Widerspruch ist, können Sie im Duden nachschlagen.",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"Da dreht sich jemand im Kreis. Die 7 Prozent kann der Vermieter doch auf die Miete schlagen. Diese starke Position ergibt sich durch den Markt (Angebot und Nachfrage), da ist es egal. Der Mieter hat weiterhin die schwache Position und kann am Ende zwischen Pest und Cholera wählen. Bezahlt er die Provision selbst oder bezahlt er sie indirekt mit der Miete. Bzw. Wie lange lohnt sich das Mietverhältnis, bis die Provision bezahlt ist und die erhöhte Miete dem Vermieter zu Gute kommt.",Dieser Kommentar ist humoristisch veranlagt,2
@USER ich verstehe die Frage nicht?,Dieser Kommentar ist Zynismus,2
"Wie vereinbart sich das, wenn Herr Gauck den Osten als Dunkeldeutschland bezeichnet oder Gabriel die Menschen im Osten als Pack. Man sollte sich nicht nur an der Wortwahl der AfD abarbeiten es gibt auch andere wie Sarazien der in der SPD seinen Platz hat. Ein falsches Wort und man dreht es so wie man es möchte.",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
https://connectiv.events/das-leicht-erhoehte-co2-hat-die-erde/,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"@MEDIUM Sie geben den Nachkommen der Honecker-Verbrecher eine Plattform. Das ist eine Unverschämtheit. Alles vergessen, was vor 30 Jahren war? Unerträglich so ein Sendeformat mit verklärtem Blick Richtung Sozialismus! Sie können sich ja über „andere Meinungen“ freuen und aufnehmen wie sie wollen, ich tue das nicht, ich habe diese Sch.... persönlich erlebt.",Dieser Kommentar ist Zynismus,2
"Sie beleidigen mit ihrem Kommentar alle Opfer des Nationalsozialismus und verharmlosen dadurch die echten Nazis! Von Geschichte Reden, aber Geschichte nicht verstehen. Schämen Sie sich!",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"Nun. Ich bin in Rheinland-Pfalz geboren, aufgewachsen in Norddeutschland und lebe seit 26 Jahren in Nordrhein-Westfalen. Meine Heimat ist Norddeutschland.",Dieser Kommentar ist Zynismus,2
"Manche sind vielleicht unverbesserlich oder unsensibel. Unsensible oder Unaufmerksame äußern sich mal dämlich. Aber wenn Sie sie fragen würden: ich habe einen deutschen Pass, ich mag es hier, ich würde gerne bleiben, sagt jeder (abgesehen von wenigen Unverbesserlichen): klar, sorry, war doof von mir. Echt, Ihnen gefällt es hier, sind wir nicht zu unfreundlich und humorlos hier? Freut mich, wenn Sie es hier mögen“",Dieser Kommentar ist humoristisch veranlagt,2
"@USER da waren einige von anderen Parteien nicht, und wen juckts? PS: @USER wie war es eigentlich bei den Misfits? Das du als AfD-Fanboy da überhaupt hingehst. Herrlich widersprüchlich.",Dieser Kommentar ist Zynismus,2
"Und die Waffen die wir dagegen haben sind Herz und Hirn. ""Vor Klugheit und Wissen kommt Toleranz und Güte!""",In diesem Kommentar findet man Diskriminierung,2
Airbnb 😡😡😡,Dieser Kommentar ist humoristisch veranlagt,2
"Wenn Sie nicht sachlich und inhaltlich diskutieren, sondern stattdessen andere User nur menschenfeindlich abwerten können, dann bestätigen Sie ganz eindeutig meine Bewertung, die auf politikwissenschaftlichen Maßstäben beruht.",In diesem Kommentar findet man Diskriminierung,2
"DANKE für Antwort - Noch 2 Bemerkungen: Titanic-Kapitän geht nicht von Bord; Andrea Nahles bleibt - o d e r - SPD wird mit ""alten weißen Männern"" wieder wählbar ( Die jungen Grünen kann die SPD nicht überholen: Bärbock und Habeck sind unübertroffen ""geil"". (Bis heute abend. 👩‍❤️‍👩)",Dieser Kommentar ist Zynismus,2
"Gilt das etwa auch für die Polizisten von Uniter, NSU 2.0, Nordkreuz oder der Münchener Whatsappgruppe?",Dieser Kommentar ist Zynismus,2
"Mittlerweile spielt der AfD-Politiker und Reichsbürger aus Franken die ganze Klaviatur des völkischen Nationalismus, nämlich neben antisemitischem Verschwörungswahn auch knallharten Rassismus.",In diesem Kommentar findet man Diskriminierung,2
"Diese Sendung ist Mobbing pur. 4 bzw. 5 gegen einen. Meine ganz einfache Frage ist: ""Warum wird gegen die Rechte Szene nicht rigoros vorgegangen. Ebenso gegen die Linken Verbrecher. Diese Frage stelle ich seit die Flüchtlingsunter- künfte z. B. in Möller brannte?"" Es passiert nichts.",Dieser Kommentar ist humoristisch veranlagt,2
