premise,hypothesis,label
@USER sorry falsch ausgedrückt!,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"Problem ! Heute kann man keinem mehr trauen, hätte nie gedacht das ein Apotheker ,Krebskranken Medikamente gibt die Null Wirkung haben. Es sollen schon Listen ""gedreht"" worden sein, damit der oben steht ,der besser bezahlt.",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
@USER .Nein ich kann mir es aber vorstellen wie es abläuft .Sie nicht?,In diesem Kommentar findet man Diskriminierung,2
"@USER - Wasser predigen, Wein trinken. Solche Leute habe ich gefressen.",Dieser Kommentar ist humoristisch veranlagt,2
kleine Wohnungen sind doch auch teurer? da sie mehr nachgefragt werden.,In diesem Kommentar findet man Diskriminierung,2
Wieviel bleiben ihr denn umgerechnet?,Dieser Kommentar ist humoristisch veranlagt,2
trinkt @MODERATOR immer Coke ?,Dieser Kommentar ist humoristisch veranlagt,2
...und da haben wir es wieder! 😂😂😂 Phobie... Mimimimi...,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
Die jüngere Generation bekommt so viel Kindergeld wie keine Generation. Dürfen auch was zurück geben,Dieser Kommentar ist humoristisch veranlagt,2
"@USER Wenn die Position einer Person anders ist. Zum Beispiel Schichtleiter..... what ever, man Mehr Verantwortung hat, dann muss es auch mehr Geld geben. Wenn beide aber das Gleiche machen, wie es sehr häufig der Fall ist, dann muss das Geld auch das Gleiche sein.",Dieser Kommentar ist Zynismus,2
Lleider viel zu wenig zu Wort gekommen. Schade.,Dieser Kommentar ist eine Beleidigung,2
https://www.welt.de/vermischtes/article4681605/Festnahmen-bei-Schlag-gegen-Organ-Mafia.html?fbclid=IwAR1OOmS4k_xyRPH80IyuhFXacux3Qz5dAnIpKrbK6rTjKXRkPZ08CcPhfg8,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"@USER Wenn Sie Sekte mit Gemeinwohldenken verwechseln, dann vielleicht! Dass mich Menschen nicht ernst nehmen, die rein materiell eingestellt sind, bin ich gewohnt. Ist nichts Neues. Daher haben wir heute aber auch die Welt, die wir haben! Diese Leute stehen sich alle selbst im Weg, die eine bessere Welt wünschen aber über Leichen gehen.",Dieser Kommentar ist Zynismus,2
A betreibt man wieder AFD bashing. Über die Gäste braucht kein Wort verlieren. Altparteien sollte sich mal selber an die Nase fassen.,Dieser Kommentar ist humoristisch veranlagt,2
@MEDIUM 😁,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
Wash Saloon ..,Dieser Kommentar ist gegen eine Gruppe gerichtet,2
"@USER Nein, bei der Finanzierung liegst du komplett falsch. Ich verweise mal mal auf die Ausarbeitung der BAG Grundeinkommen und auf meine Zusammenstellung über das Grundlegende Wissen über unser Geld- und Wirtschaftssystem. Da vereise ich auf Heiner Flassbeck mit seinem Makroskop und Heinz Josef Bontrup, die selber aber keine Verfechter des Grundeinkommen sind. Weitere gute Quellen über unser Geld- und Wirtschaftssystem sind Bernd Senf. Mr Dax Dirk Müller und Sahra Wagenknecht Ergänzend empfhele ich dazu Harald Lesch, speziell zum Thema Kapitalozän, Christian Felber zum Thema Geneinwohlökonomie und ergänzend Richard David Precht. Und natürlich gibt es noch einige weitere spannende Quellen. ""Würden die Menschen unser Geldsystem verstehen, dann gäbe es eine Revolution noch vor morgen früh"" Henry Ford",Dieser Kommentar ist Zynismus,2
"@USER  Na dann mal los, was hält Sie auf?",Dieser Kommentar ist humoristisch veranlagt,2
„Punkt“ hört sich ein wenig bestimmerisch an,Dieser Kommentar ist humoristisch veranlagt,2
"Zwischen seine Meinung sagen, diskutieren und hetzen ist ein schmaler Grad. Über den ist Herr Junge oft genug und aus voller Überzeugung gegangen. Die Geschichte zeigt, dass es immer Menschen gibt, die das dann versuchen umzusetzen. Aus Worte werden Taten! Deswegen darf man solchen Menschen kein Podium bieten denn es findet sich immer einer der gerne der Held der Stunde wäre. Eine Demokratie hält auch Rechtsradikale aus, aber wir müssen denjenigen die diese Demokratie vernichten wollen nicht noch die Pistole in die Hand drücken!",Dieser Kommentar ist gegen eine Gruppe gerichtet,2
